Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
C3: Min (node 3355) → C2: Min (node 4665) in NEF (0.99998782),0.96421818,1.12626530,0.16204712,16.80606354,11.00037400,13.38341800,2.38304400,21.66329981,
C4: Min (node 1247) → C1: Min (node 2804) in NEF (0.99999573),1.41010590,1.79026840,0.38016250,26.95985458,27.91570600,33.58396800,5.66826200,20.30492082,
C4: Min (node 2497) → C1: Min (node 4340) in NEF (0.99999732),1.40746900,1.83166410,0.42419510,30.13885919,27.83377700,34.47488800,6.64111100,23.85989871,
C4: Min (node 3929) → C1: Min (node 3390) in NEF (0.99933149),1.60753280,1.13377870,-0.47375410,-29.47088234,23.69620300,13.01611700,-10.68008600,-45.07087486,
C4: Min (node 4653) → C1: Min (node 2133) in NEF (0.99997533),1.66814290,1.28221570,-0.38592720,-23.13514028,23.15812700,16.67273100,-6.48539600,-28.00483822,
H1: Min (node 3353) → H5: Min (node 4667) in NEF (0.99999884),1.01905320,0.93725702,-0.08179618,-8.02668398,54.16901600,48.00074700,-6.16826900,-11.38707965,
H2: Min (node 2744) → H6: Min (node 1028) in NEF (0.99999999),0.94875738,0.94851679,-0.00024059,-0.02535843,48.16931300,47.82446300,-0.34485000,-0.71591222,
H3: Min (node 3944) → H4: Min (node 1877) in NEF (0.99999988),0.96974158,0.94551411,-0.02422747,-2.49834291,49.52828900,47.80125100,-1.72703800,-3.48697287,
H4: Min (node 4242) → H4: Min (node 1877) in NEF (0.99999982),0.91873400,0.94551411,0.02678011,2.91489267,46.05293500,47.80125100,1.74831600,3.79631830,
H5: Min (node 4635) → H5: Min (node 4667) in NEF (0.99999818),0.85828249,0.93725702,0.07897453,9.20146116,42.79385500,48.00074700,5.20689200,12.16738244,
H6: Min (node 2914) → H6: Min (node 1028) in NEF (1.00000000),0.94468449,0.94851679,0.00383230,0.40566983,47.39990400,47.82446300,0.42455900,0.89569591,
Total,29.76381776,29.76634444,0.00252668,0.00848910,651.85080510,650.31835000,-1.53245510,-0.23509292,
Max basin decomposition according to INS: Kinetic Energy Density SCF
C1: Max (node 6104) → C1: Max (node 6148) in NEF (0.99998572),2.24840800,2.37808240,0.12967440,5.76738741,32.62258100,36.48029300,3.85771200,11.82528139,
